7da2cf47adeb888850f6c85a9b1767949c257b20f62d72fd57f5d4c9cf1763be	2760	ErdosProblems\Erdos146.lean
164e9dc2028005813190bdcd162423468add976faef145d796cde659c2c32bc3	103352	ErdosProblems\Erdos146\BinaryEntropy.lean
ace0bb40273b40361bddfdc7f14cdcdd75b42e88cfb157d15b92a061e326664a	25620	ErdosProblems\Erdos146\ForbiddenGraph.lean
424340071638bfbd648db139d482421dc3968997284d9063d280b65c31124c19	88892	ErdosProblems\Erdos146\HammingProfiles.lean
42afbfefb4a376d2f6f79fccb2b3fd17917c6002d74818534893b4ce1468b1da	52669	ErdosProblems\Erdos146\SamplingAndHammingBalls.lean
99b7b46e2c2e0ba74219ad6003a638196bbe784dc4c92330879b2e759ae0e748	69571	ErdosProblems\Erdos146\HammingHostAndExclusion.lean
2301c07afb75beea441fd6cf74f584a168cc37d0910bd34807638e1a4972c911	39378	ErdosProblems\Erdos146\MainTheorem.lean
c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	11357	ErdosProblems\Erdos146\LICENSE
067db73b411a94cc044505b8728e17cfd13f1b407eafa20710617a7de8fd17a6	1160	PORTING-DIFF.md
50f637d6314b8d5c1dd01bc1a7475de5980987546be693d30fd2f396d96274ef	126	Audit146.lean
e3804943db9e60ce96e373006cf3359280fa31ae9b0ddd915d66654d3d849c4a	188752	.lake\build\lib\lean\ErdosProblems\Erdos146.olean
1c68e142ada2a3a4f48242ca529f26becce06b6558609f1d7997ad56f556b0ac	5762968	.lake\build\lib\lean\ErdosProblems\Erdos146\BinaryEntropy.olean
09adac90c4a411738da0711c16c1b540c989e142db7fd7ddb404f6f4c860319d	823608	.lake\build\lib\lean\ErdosProblems\Erdos146\ForbiddenGraph.olean
1056a49c643d7fcd4f09fa4ee73d331cd19f45ff76ee706094ad3d0f0fb95773	2463800	.lake\build\lib\lean\ErdosProblems\Erdos146\HammingProfiles.olean
3132f59492554ba5a990a5849459fd4c1cfba39667aece15f4d1326a188cbf16	1204584	.lake\build\lib\lean\ErdosProblems\Erdos146\SamplingAndHammingBalls.olean
3922a430b7aa5fdac06ec35c203e9d2c29f6cf3496dbc69e8c9f4904d525b405	1473856	.lake\build\lib\lean\ErdosProblems\Erdos146\HammingHostAndExclusion.olean
776d9328ed08f6141cf813173635f4bef6f47657f396894b76e900d4d88b5b3e	1063712	.lake\build\lib\lean\ErdosProblems\Erdos146\MainTheorem.olean
5eaa31e351f19e63a7493c9a83b878d2c76573d9d971b5cdaa71d9384ed13d6a	1480	.lake\build\lib\lean\Audit146.olean
93878d4965a3555b80a2f00e135fd33ac6d10be75c2af07a5d66a9345b37f09b	4395	current-release-v4.34.log
